车名,官方指导价,厂商,级别,能源类型,上市时间,发动机,最大功率(kW),最大扭矩(N·m),变速箱,长x宽x高(mm),车身结构,最高车速(km/h),官方百公里加速时间(s),WLTC综合油耗(L/100km),整车保修期限,6万公里保养总成本预估,长(mm),宽(mm),高(mm),轴距(mm),前轮距(mm),后轮距(mm),车门数(个),车门开启方式,座位数(个)
迈腾 2024款 300TSI 尊享型,17.99万,一汽-大众,中型车,汽油,2024.07,1.5T 160马力 L4,118(160Ps),250,7挡双离合,4990x1854x1487,NULL,210,9.1,5.8,3年或10万公里,7007.0元,汽油,95#,缸内直喷,铝合金,铝合金,国VI,NULL,NULL,●标配
迈腾 2024款 380TSI 尊贵版,20.99万,一汽-大众,中型车,汽油,2024.07,2.0T 220马力 L4,162(220Ps),350,7挡双离合,4990x1854x1487,NULL,210,7.3,6.66,3年或10万公里,NULL,汽油,95#,缸内直喷,铝合金,铸铁,国VI,●运动,NULL,●标配
迈腾 2024款 380TSI 至尊版,24.69万,一汽-大众,中型车,汽油,2024.07,2.0T 220马力 L4,162(220Ps),350,7挡双离合,4990x1854x1487,NULL,210,7.4,6.71,3年或10万公里,10859.0元,汽油,95#,缸内直喷,铝合金,铸铁,国VI,●运动,NULL,●标配
迈腾 2024款 200万辆众享款 280TSI DSG舒适众享款,17.49万,一汽-大众,中型车,汽油,2024.07,1.4T 150马力 L4,110(150Ps),250,7挡双离合,4866x1832x1479,NULL,210,9.4,6.23,3年或10万公里,NULL,汽油,95#,缸内直喷,铝合金,铝合金,国VI,NULL,NULL,NULL
迈腾 2024款 200万辆众享款 330TSI DSG豪华众享款,20.69万,一汽-大众,中型车,汽油,2024.07,2.0T 186马力 L4,137(186Ps),320,7挡双离合,4866x1832x1479,NULL,210,8.9,6.38,3年或10万公里,NULL,汽油,95#,缸内直喷,铝合金,铸铁,国VI,NULL,NULL,NULL
迈腾 2023款 200万辆纪念版 280TSI DSG舒适型,18.69万,一汽-大众,中型车,汽油,2022.10,1.4T 150马力 L4,110(150Ps),250,7挡双离合,4866x1832x1479,NULL,210,9.4,6.23,3年或10万公里,7007.0元,汽油,95#,缸内直喷,铝合金,铝合金,国VI,NULL,NULL,NULL
迈腾 2023款 200万辆纪念版 280TSI DSG领先型,19.59万,一汽-大众,中型车,汽油,2022.10,1.4T 150马力 L4,110(150Ps),250,7挡双离合,4866x1832x1479,NULL,210,9.4,6.23,3年或10万公里,10951.0元,汽油,95#,缸内直喷,铝合金,铝合金,国VI,NULL,NULL,NULL
迈腾 2023款 200万辆纪念版 330TSI DSG领先型,21.19万,一汽-大众,中型车,汽油,2022.10,2.0T 186马力 L4,137(186Ps),320,7挡双离合,4866x1832x1479,NULL,210,8.9,6.38,3年或10万公里,10859.0元,汽油,95#,缸内直喷,铝合金,铸铁,国VI,NULL,NULL,NULL
迈腾 2023款 200万辆纪念版 330TSI DSG豪华型,22.69万,一汽-大众,中型车,汽油,2022.10,2.0T 186马力 L4,137(186Ps),320,7挡双离合,4866x1832x1479,NULL,210,8.9,6.38,3年或10万公里,10859.0元,汽油,95#,缸内直喷,铝合金,铸铁,国VI,NULL,NULL,NULL
迈腾 2023款 200万辆纪念版 380TSI DSG旗舰型,25.39万,一汽-大众,中型车,汽油,2022.10,2.0T 220马力 L4,162(220Ps),350,7挡双离合,4866x1832x1479,NULL,210,7.9,6.72,3年或10万公里,9343.0元,汽油,95#,缸内直喷,铝合金,铸铁,国VI,NULL,NULL,NULL
